
  HYDROGEN
      1.0080           1
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     37.0000      0.9000      0.7500    185.0000      0.3600     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    355.0000    940.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 14:
     31.0000      0.4500      0.7500    200.0000      0.2100     -0.2000
      7.0000      4.5000      0.0000      0.0000      0.0000      0.0000
    384.0000    974.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 15:
      1.0000      0.0000      0.0000    650.0000      2.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1013.0000   1129.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 16:
    110.0000      0.0650      0.7500    700.0000      4.6000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1097.0000   1197.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 17:
    100.0000      0.1100      0.7500    775.0000      1.6000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1185.0000   1267.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 18:
     85.0000      0.1300      0.7500    800.0000      1.6000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1299.0000   1336.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 19:
     90.0000      0.1650      0.7500    850.0000      1.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1396.0000   1434.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 20:
     85.0000      0.1600      0.7500    875.0000      0.6500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1496.0000   1535.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 21:
     83.0000      0.1700      0.7500    950.0000      0.6300     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1634.0000   7164.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 22:
     50.0000      0.0700      0.7500    990.0000      0.3750     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1721.0000   7254.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 23:
      1.0000      0.0000      0.0000   5700.0000      0.7800     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   7482.0000   7482.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 24:
      1.0000      0.0000      0.0000   5900.0000      0.4200     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   7895.0000   7895.0000      1.0000      0.0000      1.0000      0.0000

   IRON
     55.8500          26
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      4.0000      2.6000      0.4000      0.9200      0.6000      0.1900
      7.8700      9.0000      2.0000      6.0000      4.0000      1.0000
&    IK = 2:
      5.0000      1.0000      0.8000      0.0000      0.0000      0.0000
      4.4000      3.3000      0.0000      0.8500      0.0000      0.4000
     16.2000     17.5000      1.0000      6.0000      3.0000     14.0000
&    IK = 3:
     12.0000      1.0000      0.7000      0.0000      0.0000      0.0000
      4.0000      4.5000      0.6000      0.2000      0.5000      0.6000
     30.7000    103.0000      6.0000      6.0000      3.0000     13.0000
&    IK = 4:
     24.0000      1.0000     -0.2500      0.0000      0.0000      0.0000
      4.5000      4.5000      0.3000      0.0000      0.6000      0.0000
     54.8000    125.0000      5.0000      6.0000      3.0000     12.0000
&    IK = 5:
     32.0000      1.0000      0.7000      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     75.0000    147.0000      4.0000      6.0000      3.0000     11.0000
&    IK = 6:
     42.0000      1.0000      0.7000      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     99.0000    169.0000      3.0000      6.0000      3.0000     10.0000
&    IK = 7:
     50.0000      1.0000     -0.2500      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    125.0000    190.0000      2.0000      6.0000      3.0000      9.0000
&    IK = 8:
     72.5000      3.4000      0.6500      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    151.0000    213.0000      1.0000      6.0000      3.0000      8.0000
&    IK = 9:
     72.5000      3.7300      0.6500      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    235.0000    271.0000      6.0000      2.0000      3.0000      7.0000
&    IK = 10:
     35.0000      0.1700      0.7700     71.0000      2.8000      0.6500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    262.0000    297.0000      5.0000      2.0000      3.0000      6.0000
&    IK = 11:
     35.0000      0.3000      0.7700     69.0000      2.1500      0.7700
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    290.0000    324.0000      4.0000      2.0000      3.0000      5.0000
&    IK = 12:
     34.5000      0.4700      0.7700     64.5000      2.1000      0.7700
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    331.0000    356.0000      3.0000      2.0000      3.0000      4.0000
&    IK = 13:
     34.5000      0.6000      0.7700     62.0000      1.0000      0.7700
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    361.0000    388.0000      2.0000      2.0000      3.0000      3.0000
&    IK = 14:
     35.0000      0.7100      0.7700     57.0000      0.3500      0.7000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    392.0000    421.0000      1.0000      2.0000      3.0000      2.0000
&    IK = 15:
     43.5000      0.8000      0.7700    245.0000      1.2300     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    457.0000   1185.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 16:
     36.5000      0.4000      0.7700    260.0000      0.9200     -0.2500
      7.0000      4.5000      0.0000      0.0000      0.0000      0.0000
    490.0000   1223.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 17:
    820.0000      2.8400     -0.2500    900.0000      2.1200     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1265.0000   1397.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 18:
    130.0000      0.0600      0.7700    820.0000      8.2000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1358.0000   1471.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 19:
    110.0000      0.1000      0.7700    915.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1456.0000   1548.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 20:
    100.0000      0.1200      0.7700    970.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1582.0000   1622.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 21:
    105.0000      0.1500      0.7700   1000.0000      1.2000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1689.0000   1731.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 22:
     95.0000      0.1500      0.7700   1050.0000      0.7000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1799.0000   1842.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 23:
     97.0000      0.1600      0.7700   1075.0000      2.3000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1950.0000   8482.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 24:
     57.5000      0.0700      0.7700   1150.0000      1.2000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2045.0000   8580.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 25:
   6700.0000      0.8000     -1.0000   7900.0000      0.1600     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   8828.0000   8828.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 26:
   6958.0000      0.4200     -0.4200   8246.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   9278.0000   9278.0000      1.0000      0.0000      1.0000      0.0000

  NICKEL
     58.6900          28
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      4.0000      2.4000      0.4000      0.9400      0.6000      0.1700
      8.6800     10.0000      2.0000      8.0000      3.0000     17.0000
&    IK = 2:
     10.0000      2.0000      0.8000     15.0000      1.0000     -0.2500
      0.0000      3.0000      0.0000      0.9000      0.0000      0.2500
     18.2000     18.2000      0.0000      9.0000      3.0000     16.0000
&    IK = 3:
     15.0000      2.0000      0.8000     25.0000      1.0000     -0.2500
      3.8000      4.5000      0.7000      0.2000      0.5000      0.6000
     35.2000    122.0000      8.0000      6.0000      3.0000     15.0000
&    IK = 4:
     20.0000      2.0000      0.8000     30.0000      1.0000     -0.2500
      4.4000      4.5000      0.4000      0.0000      0.6000      0.0000
     54.9000    146.0000      7.0000      6.0000      3.0000     14.0000
&    IK = 5:
     30.0000      2.0000      0.8000     45.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     75.5000    171.0000      6.0000      6.0000      3.0000     13.0000
&    IK = 6:
     40.0000      2.0000      0.8000     60.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    108.0000    196.0000      5.0000      6.0000      3.0000     12.0000
&    IK = 7:
     50.0000      2.0000      0.8000     70.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    133.0000    221.0000      4.0000      6.0000      3.0000     11.0000
&    IK = 8:
     60.0000      2.0000      0.8000    100.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    162.0000    246.0000      3.0000      6.0000      3.0000     10.0000
&    IK = 9:
     70.0000      2.0000      0.8000    121.0000      1.1000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    193.0000    271.0000      2.0000      6.0000      3.0000      9.0000
&    IK = 10:
     85.0000      2.0000      0.8000    137.0000      1.3000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    225.0000    296.0000      1.0000      6.0000      3.0000      8.0000
&    IK = 11:
     84.0000      2.3000      0.8000    177.0000      1.1000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    321.0000    363.0000      6.0000      2.0000      3.0000      7.0000
&    IK = 12:
     78.0000      2.3000      0.8000    165.0000      0.8000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    352.0000    393.0000      5.0000      2.0000      3.0000      6.0000
&    IK = 13:
     56.0000      1.1000      0.8000    172.0000      0.4000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    384.0000    423.0000      4.0000      2.0000      3.0000      5.0000
&    IK = 14:
     69.0000      1.7000      0.8000    188.0000      0.3000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    430.0000    458.0000      3.0000      2.0000      3.0000      4.0000
&    IK = 15:
     62.0000      2.0000      0.8000    200.0000      0.4000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    464.0000    494.0000      2.0000      2.0000      3.0000      3.0000
&    IK = 16:
     58.0000      1.1000      0.8000    250.0000      0.4000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    499.0000    531.0000      1.0000      2.0000      3.0000      2.0000
&    IK = 17:
     50.0000      0.7700      0.8000    288.0000      0.4500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    571.0000   1458.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 18:
     41.0000      0.3700      0.8000    302.0000      0.3000     -0.2500
      7.0000      4.5000      0.0000      0.0000      0.0000      0.0000
    608.0000   1500.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 19:
    997.0000      3.5000     -0.2500   1233.0000      1.1000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1546.0000   1694.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 20:
    149.0000      0.0600      0.8000   1042.0000      1.3000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1648.0000   1775.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 21:
    129.0000      0.0900      0.8000   1033.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1756.0000   1858.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 22:
    112.0000      0.1100      0.8000   1100.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1894.0000   1938.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 23:
    119.0000      0.1600      0.8000   1127.0000      1.4000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2011.0000   2056.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 24:
    108.0000      0.2100      0.8000   1200.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2131.0000   2178.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 25:
    105.0000      0.1500      0.8000   1327.0000      0.8700     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2295.0000   9914.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 26:
     67.7000      0.0700      0.8000   1367.0000      0.5600     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2399.0000  1.0020E+04      1.0000      2.0000      2.0000      0.0000
&    IK = 27:
   7804.0000      0.7700     -0.8000   9170.0000      0.2400     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
  1.0290E+04  1.0288E+04      2.0000      0.0000      1.0000      1.0000
&    IK = 28:
   8049.0000      0.4200     -0.4200   9578.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
  1.0775E+04  1.0775E+04      1.0000      0.0000      1.0000      0.0000
